amr_id,assigned_amr,task_id,sequence_order,predecessor_task_id,start_node,pickup,delivery,service_time,earliest_start,latest_finish,priority,transition_path_uid,transition_path_id,transition_travel_time,transition_distance,transition_cost,loaded_path_uid,loaded_path_id,loaded_travel_time,loaded_distance,loaded_cost,estimated_arrival_pickup,estimated_start_time,estimated_finish_time,estimated_delay,estimated_waiting,energy_used,battery_after,transition_status,loaded_path_status,assignment_method,notes
AMR1,AMR1,T06,1,,IN1,P2,SORT1,2.0,6.0,36.0,1.0,vg::IN1__P2__path_1,path_1,5.903,5.903,6.903,vg::P2__SORT1__path_1,path_1,6.571111,5.914,7.914,5.903,6.0,14.571111,0.0,0.097,13.3998,76.6002,ok,ok,m3_regret_insertion_ls+mixed,
AMR1,AMR1,T03,2,T06,SORT1,P5,SORT1,3.0,2.0,32.0,1.0,vg::SORT1__P5__path_1,path_1,4.709,4.709,5.709,vg::P5__SORT1__path_1,path_1,5.232222,4.709,5.709,19.280111,19.280111,27.512333,0.0,0.0,10.9598,65.6404,ok,ok,m3_regret_insertion_ls+mixed,
AMR1,AMR1,T07,3,T03,SORT1,P7,OUT1,3.0,8.0,42.0,2.0,vg::SORT1__P7__path_1,path_1,3.76,3.76,4.76,vg::P7__OUT1__path_1,path_1,6.021111,5.419,6.419,31.272333,31.272333,40.293444,0.0,0.0,10.8628,54.7776,ok,ok,m3_regret_insertion_ls+mixed,
AMR1,AMR1,T21,4,T07,OUT1,P1,SORT2,2.0,31.0,65.0,3.0,vg::OUT1__P1__path_1,path_1,9.873,9.873,11.873,vg::P1__SORT2__path_1,path_1,10.748889,9.674,10.674,50.166444,50.166444,62.915333,0.0,0.0,21.8818,32.8958,ok,ok,m3_regret_insertion_ls+mixed,
AMR1,AMR1,T23,5,T21,SORT2,P3,SORT1,2.0,32.0,57.0,1.0,vg::SORT2__P3__path_1,path_1,7.716,7.716,8.716000000000001,vg::P3__SORT1__path_1,path_1,8.541111,7.687,9.187,70.631333,70.631333,81.172444,24.172444,0.0,17.3404,15.5554,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T02,1,,IN2,P3,SORT2,2.0,0.0,28.0,2.0,vg::IN2__P3__path_1,path_1,3.589,3.589,3.589,vg::P3__SORT2__path_1,path_1,8.573333,7.716,8.716000000000001,3.589,3.589,14.162333,0.0,0.0,13.2482,71.7518,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T10,2,T02,SORT2,P5,OUT1,3.0,14.0,50.0,2.0,basic_astar::SORT2__P5__path_1,path_1,4.7,4.7,4.7,vg::P5__OUT1__path_1,path_1,7.486667,6.738,7.738,18.862333,18.862333,29.349,0.0,0.0,13.3856,58.3662,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T08,3,T10,OUT1,P9,SORT2,2.0,10.0,45.0,3.0,vg::OUT1__P9__path_1,path_1,7.135,7.135,8.135,vg::P9__SORT2__path_1,path_1,5.682222,5.114,5.614,36.484,36.484,44.166222,0.0,0.0,13.6718,44.6944,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T16,4,T08,SORT2,P6,SORT1,2.0,26.0,56.0,3.0,vg::SORT2__P6__path_1,path_1,2.939,2.939,3.439,vg::P6__SORT1__path_1,path_1,4.525556,4.073,4.573,47.105222,47.105222,53.630778,0.0,0.0,8.2266,36.4678,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T20,5,T16,SORT1,P7,SORT1,2.0,30.0,58.0,1.0,vg::SORT1__P7__path_1,path_1,3.76,3.76,4.76,vg::P7__SORT1__path_1,path_1,4.177778,3.76,4.76,57.390778,57.390778,63.568556,5.568556,0.0,8.672,27.7958,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T09,6,T20,SORT1,P4,SORT1,2.0,12.0,48.0,1.0,vg::SORT1__P4__path_1,path_1,6.562,6.562,8.062000000000001,vg::P4__SORT1__path_1,path_1,7.291111,6.562,8.062000000000001,70.130556,70.130556,79.421667,31.421667,0.0,14.8364,12.9594,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T01,1,,CHG1,P1,SORT1,2.0,0.0,25.0,2.0,vg::CHG1__P1__path_1,path_1,2.44,2.196,2.196,vg::P1__SORT1__path_1,path_1,10.140741,8.214,10.214,2.44,2.44,14.580741,0.0,0.0,12.4528,87.5472,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T05,2,T01,SORT1,P6,OUT2,2.0,5.0,38.0,2.0,vg::SORT1__P6__path_1,path_1,4.525556,4.073,4.573,vg::P6__OUT2__path_1,path_1,5.412346,4.384,4.884,19.106296,19.106296,26.518642,0.0,0.0,9.7338,77.8134,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T13,3,T05,OUT2,P2,SORT1,2.0,19.0,46.0,3.0,vg::OUT2__P2__path_1,path_1,8.66,7.794,9.294,vg::P2__SORT1__path_1,path_1,7.301235,5.914,7.914,35.178642,35.178642,44.479877,0.0,0.0,15.2908,62.5226,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T12,4,T13,SORT1,P8,OUT1,2.0,18.0,55.0,3.0,vg::SORT1__P8__path_1,path_1,1.022222,0.92,0.92,vg::P8__OUT1__path_1,path_1,3.949383,3.199,3.199,45.502099,45.502099,51.451481,0.0,0.0,5.1588,57.3638,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T19,5,T12,OUT1,P8,SORT2,2.0,29.0,60.0,2.0,vg::OUT1__P8__path_1,path_1,3.554444,3.199,3.199,vg::P8__SORT2__path_1,path_1,2.832099,2.294,2.294,55.005926,55.005926,59.838025,0.0,0.0,6.3518,51.012,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T15,6,T19,SORT2,P9,SORT1,2.0,25.0,53.0,1.0,vg::SORT2__P9__path_1,path_1,5.682222,5.114,5.614,vg::P9__SORT1__path_1,path_1,6.303704,5.106,6.106,65.520247,65.520247,73.823951,20.823951,0.0,11.6412,39.3708,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T17,7,T15,SORT1,P2,SORT1,3.0,27.0,55.0,1.0,vg::SORT1__P2__path_1,path_1,6.571111,5.914,7.914,vg::P2__SORT1__path_1,path_1,7.301235,5.914,7.914,80.395062,80.395062,90.696296,35.696296,0.0,13.6108,25.76,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T04,1,,CHG2,P8,SORT2,2.0,4.0,35.0,3.0,vg::CHG2__P8__path_1,path_1,2.142727,2.357,2.357,vg::P8__SORT2__path_1,path_1,2.317172,2.294,2.294,2.142727,4.0,8.317172,0.0,1.857273,5.5098,74.4902,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T11,2,T04,SORT2,P3,OUT2,2.0,16.0,52.0,2.0,vg::SORT2__P3__path_1,path_1,7.014545,7.716,8.716000000000001,vg::P3__OUT2__path_1,path_1,9.450505,9.356,10.356,15.331717,16.0,27.450505,0.0,0.668283,19.3432,55.147,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T18,3,T11,OUT2,P6,SORT1,2.0,27.0,53.0,2.0,vg::OUT2__P6__path_1,path_1,3.985455,4.384,4.884,vg::P6__SORT1__path_1,path_1,4.114141,4.073,4.573,31.43596,31.43596,37.550101,0.0,0.0,9.6716,45.4754,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T14,4,T18,SORT1,P4,SORT1,2.0,22.0,54.0,2.0,vg::SORT1__P4__path_1,path_1,5.965455,6.562,8.062000000000001,vg::P4__SORT1__path_1,path_1,6.628283,6.562,8.062000000000001,43.515556,43.515556,52.143838,0.0,0.0,14.8364,30.639,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T22,5,T14,SORT1,P4,SORT2,2.0,32.0,69.0,2.0,vg::SORT1__P4__path_1,path_1,5.965455,6.562,8.062000000000001,basic_astar::P4__SORT2__path_1,path_2,8.467677,8.383,9.883,58.109293,58.109293,68.57697,0.0,0.0,17.0216,13.6174,ok,ok,m3_regret_insertion_ls+mixed,
